t,el1,el2
884,0.48467794,-0.35061812
885,0.29594287,-0.5283137
886,0.097252354,-0.70702326
887,-0.10075233,-0.8895659
888,-0.31719244,-1.0921031
889,-0.5351936,-1.2528847
890,-0.7577308,-1.4070816
891,-0.990201,-1.5470709
892,-1.203417,-1.6586853
893,-1.4259942,-1.7311192
894,-1.6181825,-1.7337245
895,-1.7996597,-1.6174649
896,-1.9368619,-1.2936895
897,-2.0050344,-0.5895015
898,-1.9838871,0.040110387
899,-1.7374985,0.51739115
900,-1.0988874,0.9319656
901,-0.3997693,1.2778424
902,0.117001474,1.55658
903,0.5543128,1.6901203
904,0.9147097,1.7087259
905,1.2434311,1.6423945
906,1.4897139,1.5355196
907,1.6291476,1.4189411
908,1.6465983,1.2960277
909,1.6313056,1.1503153
910,1.5595732,1.0225039
911,1.4427102,0.8880868
912,1.3078182,0.7330611
913,1.1629161,0.5986563
914,1.0130609,0.44500875
915,0.8522071,0.2828419
916,0.67385596,0.11236068
917,0.50368977,-0.06305794
918,0.31232655,-0.26401642
919,0.12980479,-0.4077603
920,-0.077992976,-0.5876629
921,-0.28835618,-0.7812711
922,-0.5109518,-0.97004503
923,-0.734719,-1.1445122
924,-0.9629319,-1.3084351
925,-1.1820575,-1.463221
926,-1.4094217,-1.5996578
927,-1.601522,-1.695988
928,-1.7851814,-1.7411705
929,-1.9213552,-1.6965437
930,-2.0039837,-1.5176221
931,-1.9943997,-1.0398569
932,-1.7255191,-0.32874504
933,-1.0839915,0.22811265
934,-0.37204778,0.66704345
935,0.12705395,1.0595151
936,0.54084337,1.3878679
937,0.90209687,1.6053691
938,1.2097968,1.6650633
939,1.4599946,1.6367105
940,1.5955042,1.5656996
941,1.6268344,1.4497088
942,1.6079623,1.3301182
943,1.5294659,1.2169968
944,1.425608,1.0757955
945,1.306058,0.95526457
