t,el1,el2
822,-1.7486639,-0.7234648
823,-1.8102189,-0.8137909
824,-1.9383808,-0.9026508
825,-2.004409,-0.9746096
826,-1.9547594,-1.0226997
827,-1.6750687,-1.0690689
828,-0.96641773,-1.0975671
829,-0.1781143,-1.1201489
830,0.37682474,-1.1328754
831,0.8227708,-1.1636072
832,1.2086346,-1.1910349
833,1.5649773,-1.2132074
834,1.8187836,-1.240479
835,1.9505224,-1.2778075
836,1.967637,-1.3087155
837,1.9236122,-1.3495737
838,1.8286462,-1.3974445
839,1.6970984,-1.4401773
840,1.5446146,-1.4883844
841,1.3822829,-1.5319687
842,1.1828889,-1.5783778
843,1.0455319,-1.6198431
844,0.8573136,-1.6454401
845,0.668194,-1.6660268
846,0.43356416,-1.6688073
847,0.25186515,-1.6397525
848,0.024801062,-1.6390661
849,-0.2075427,-1.4992875
850,-0.4539449,-1.3677168
851,-0.69449645,-1.1854546
852,-0.9474014,-0.9526687
853,-1.1775565,-0.6603091
854,-1.4020841,-0.308405
855,-1.6213132,0.05833998
856,-1.7789078,0.46649545
857,-1.9104358,0.8462839
858,-1.9394034,1.2083628
859,-1.8476809,1.5272311
860,-1.516496,1.8069068
861,-0.7605579,2.0337784
862,-0.026143648,2.2105808
863,0.48756462,2.3303225
864,0.9214944,2.421828
865,1.3002337,2.4658473
866,1.6098973,2.4751847
867,1.801337,2.4593832
868,1.8707979,2.4229753
869,1.8354431,2.357571
870,1.7748061,2.2860534
871,1.6512573,2.179325
872,1.510335,2.0596373
873,1.3589345,1.9326785
874,1.1732526,1.7778325
875,1.0200264,1.6384954
876,0.8508752,1.4790168
877,0.64579827,1.3137236
878,0.44338793,1.1315072
879,0.26605558,0.968706
880,0.05420789,0.7704083
881,-0.15843785,0.61468834
882,-0.39353654,0.4424492
883,-0.60966194,0.26106104
884,-0.84386444,0.08525651
885,-1.0726289,-0.07284648
886,-1.2897257,-0.23782694
887,-1.5015888,-0.37831956
888,-1.6942102,-0.5208981
889,-1.8734742,-0.65134656
890,-1.9786217,-0.78142565
891,-2.0231557,-0.8819199
892,-1.9511975,-0.98155993
893,-1.5994189,-1.0779812
894,-0.81823677,-1.1374959
895,-0.072520405,-1.205505
896,0.4542548,-1.2785321
897,0.88739175,-1.345768
898,1.279762,-1.4027249
899,1.6173191,-1.4641926
900,1.8522961,-1.530302
901,1.959413,-1.588211
902,1.963143,-1.65508
903,1.9050657,-1.7242281
904,1.8107412,-1.7835376
905,1.6829708,-1.8465184
906,1.5244626,-1.91692
907,1.3686802,-1.9676013
908,1.1970552,-2.0171356
909,1.0188464,-2.0492067
910,0.7812882,-2.073644
911,0.6387422,-2.0668733
912,0.42177927,-2.0420961
913,0.21594188,-1.9694134
914,-0.024475344,-1.8596699
915,-0.25152785,-1.6834811
916,-0.49396265,-1.4538938
917,-0.7518426,-1.139532
918,-0.99358654,-0.74740994
919,-1.2329129,-0.24401607
920,-1.4525288,0.45353356
921,-1.6485616,1.1635242
922,-1.8064797,1.7728331
923,-1.930239,2.2620952
924,-1.9096713,2.6040344
925,-1.7735362,2.7484336
926,-1.332062,2.7566786
927,-0.54406124,2.6704319
928,0.11114202,2.5868497
929,0.6109087,2.4661458
930,1.0375334,2.321171
931,1.4039458,2.1757054
932,1.6907175,2.002869
933,1.8394997,1.8533801
934,1.8711454,1.6831174
935,1.8379241,1.5244116
936,1.7562816,1.3468223
937,1.6228871,1.1687936
938,1.4772756,0.9678618
939,1.3234005,0.783363
940,1.1450763,0.58703065
